post_id,person,username,account_type,caption,date,label
2,Donald Trump,realdonaldtrump,politician,"@keshiaknightpulliam at Trump Tower red carpet this afternoon- a wonderful woman. It was an honor to donate $25,000 to her charity. ",1/5/2015,0
3,Donald Trump,realdonaldtrump,politician,"The winner of Best in Show of the 139th @westminsterkennelclub Dog Show, Miss P, visited the office today. ",2/19/2015,0
4,Donald Trump,realdonaldtrump,politician,Spoke to a capacity crowd at Horry County Republican event earlier today.,4/11/2015,0
5,Donald Trump,realdonaldtrump,politician,"A few months ago @NeilYoung came to my office looking for $$ on an audio deal & called me last week to go to his concert. Wow! For the nonbeliever, here is a photo of @NeilYoung in my office and his $$ request-- total hypocrite. @NeilYoung's song, ""Rockin' In The Free World"" was just one of 10 songs used as background music. Didn't love it anyway.",6/25/2015,0
6,Donald Trump,realdonaldtrump,politician,Legal immigrants want border security. It is common sense. We must build a wall! Let's #MakeAmericaGreatAgain!,7/11/2015,0
7,Donald Trump,realdonaldtrump,politician,"Dishonest @NYTimes reporter Jonathan Martin refused to acknowledge massive crowd surge forward during my speech in South Carolina. Liar!
Yesterday was an amazing day in South Carolina. The crowds and enthusiasm were beyond! Will be back soon! #MakeAmericaGreatAgain",9/24/2015,0
8,Donald Trump,realdonaldtrump,politician,"An updated POLL tracker (with all polls thru the weekend) reveals I maintained a double digit lead at 34.8%. Not only that, my poll #'s are double that of 2nd place candidate. #Trump2016 #MakeAmericaGreatAgain",9/25/2015,0
9,Donald Trump,realdonaldtrump,politician,Just leaving Las Vegas. Unbelievable crowd! Many Hispanics who love me and I love them!,10/8/2015,0
10,Donald Trump,realdonaldtrump,politician,An aerial shot of Jacksonville crowd yesterday! I may as well show you because the media won't.,10/25/2015,0
11,Donald Trump,realdonaldtrump,politician,"CHAIN MIGRATION must end now! Some people come in, and they bring their whole family with them, who can be truly evil. NOT ACCEPTABLE!",11/1/2017,1
12,Donald Trump,realdonaldtrump,politician,Economists on the TAX CUTS and JOBS ACT: “The enactment of a comprehensive overhaul - complete with a lower corporate tax rate - will IGNITE our ECONOMY with levels of GROWTH not SEEN IN GENERATIONS...” #TaxReform #TaxCuts #Taxes #Jobs #Economy #Economists #MAGA #USA,12/1/2017,1
13,Donald Trump,realdonaldtrump,politician,"Crooked Hillary Clinton’s top aid, Huma Abedin, has been accused of disregarding basic security protocols. She put Classified Passwords into the hands of foreign agents. Remember sailors pictures on submarine? Jail! Deep State Justice Dept must finally act? Also on Comey & others",1/2/2018,1
14,Donald Trump,realdonaldtrump,politician,"We have gone from being one of the highest taxed countries in the developed world, to being one of the most competitive – because when our workers have a level playing field, they can COMPETE and WIN against anyone in the world.
And when our workers win, our country wins. Because we are all in this together – as one team, one people and one family, saluting one Great American Flag!",2/6/2018,1
15,Donald Trump,realdonaldtrump,politician,"If we don’t have a wall system, we’re not going to have a country. Congress must fund the BORDER WALL & prohibit grants to sanctuary jurisdictions that threaten the security of our country & the people of our country. We must enforce our laws & protect our people! #BuildTheWall",3/13/2018,1
16,Donald Trump,realdonaldtrump,politician,"Last night, it was my great honor to host America’s senior defense and military leaders for dinner at the White House. America’s military is the GREATEST fighting force in the history of the world. They all have my pledge of unwavering commitment to our men and women in uniform!",4/10/2018,1
17,Donald Trump,realdonaldtrump,politician,"Today, we broke ground on a plant that will provide jobs for up to 15,000 Wisconsin Workers! As Foxconn has discovered, there is no better place to build, hire and grow than right here in the United States!",6/28/2018,1
18,Donald Trump,realdonaldtrump,politician,"As I said today and many times before, “I have GREAT confidence in MY intelligence people.” However, I also recognize that in order to build a brighter future, we cannot exclusively focus on the past – as the world’s two largest nuclear powers, we must get along! #HELSINKI2018",7/16/2018,1
19,Donald Trump,realdonaldtrump,politician,Thank you to Kanye West and the fact that he is willing to tell the TRUTH. One new and great FACT - African American unemployment is the lowest ever recorded in the history of our Country. So honored by this. Thank you Kanye for your support. It is making a big difference!,8/12/2018,1
20,Donald Trump,realdonaldtrump,politician,"I want to know, where is the money for Border Security and the WALL in this ridiculous Spending Bill, and where will it come from after the Midterms? Dems are obstructing Law Enforcement and Border Security. REPUBLICANS MUST FINALLY GET TOUGH!",9/20/2018,1
1,Marco Rubio,marcorubio,politician,All the best to Jon Stewart on his decision to spend more time with his family. He was always fair to me on his show. Even though he was wrong! LOL,2/11/2015,0
2,Marco Rubio,marcorubio,politician,"Kluiverth Roa killed in #Venezuela. Maduro 'Resolution 8610,' allows use of deadly force to control demonstration",2/26/2015,0
3,Marco Rubio,marcorubio,politician,"We need your help! Donate now to the Century Fund so we reach our goal of raising $100,000 in 48 hours. Link in bio.",4/16/2015,0
4,Marco Rubio,marcorubio,politician,"As of today, Americans have earned a combined $4.8 trillion in income since January 1st – the exact amount of state, local and federal taxes we will owe for 2015. And it’s still not enough to cover federal spending!",4/24/2015,0
5,Marco Rubio,marcorubio,politician,The biggest issues facing America today are a result of outdated policy and leaders who are stuck in the past. Click the link in my bio to watch an interview where I discuss the biggest issues facing our country.,5/13/2015,0
6,Marco Rubio,marcorubio,politician,Remembering my father today - he worked hard to provide so many opportunities for me and taught me what the American Dream is all about. #FathersDay,6/20/2015,0
7,Marco Rubio,marcorubio,politician,The race for the future will never be won by going backward. It will never be won by hopping in Hillary Clinton's time machine to yesterday. Learn more by clicking the link in my bio.,7/8/2015,0
8,Marco Rubio,marcorubio,politician,We must protect life. #GOPDebate #life,8/7/2015,0
9,Marco Rubio,marcorubio,politician,My #FSU staffers vandalized my office door before I arrived this morning with references to historical aberrations in #UFvsFSU,9/15/2015,0
10,Marco Rubio,marcorubio,politician,Busy day on the campaign trail in Philly. Flying commercial to Pittsburgh late tonight to save money. Thank you for your support!,10/15/2015,0
11,Marco Rubio,marcorubio,politician,"One year ago today, Floridians reelected me to the U.S. Senate. I'm working hard for you every day.",11/7/2017,1
12,Marco Rubio,marcorubio,politician,"On #HumanRightsDay, we are reminded the United States must remain a voice for the voiceless and a beacon of hope for the oppressed.",12/10/2017,1
13,Marco Rubio,marcorubio,politician,"I worked closely with President Trump and his administration to roll back President Obama’s one-sided concessions to Castro and institute new policies which will undermine the regime and strengthen the Cuban people. I support treating the Cuban government as the dictatorship that it is. The priority of the U.S towards Cuba should be to speak for the dissidents, freedom fighters, and all who are oppressed by the Castro regime.",1/3/2018,1
14,Marco Rubio,marcorubio,politician,I support #SchoolChoice because all children deserve the best possible education. The jobs of the 21st century require quality education and trapping kids in a failing school prevents them from reaching their full potential.,1/26/2018,1
15,Marco Rubio,marcorubio,politician,"I believe these measures will work to help reduce gun violence and mass shootings like we saw in Parkland, Florida. If we work together and focus on passing legislation we can all agree on while setting aside the issues where we cannot; we will make significant progress in the fight against gun violence.",3/13/2018,1
16,Marco Rubio,marcorubio,politician,We need Gun Violence Restraining Orders that will give law enforcement and family members the option to obtain a court order to prevent gun sales or remove guns from individuals who pose a threat.,3/16/2018,1
17,Marco Rubio,marcorubio,politician,Productive meeting with President Juan Orlando Hernández of Honduras this morning.,4/14/2018,1
18,Marco Rubio,marcorubio,politician,Yesterday I was briefed by US embassy personnel on illegal gold mining in Latin America. Drug dealers and other bad actors use gold to launder their money. #SummitOfTheAmericas #SummitPeru,4/15/2018,1
19,Marco Rubio,marcorubio,politician,"Wishing my own mother, Oriales, and my beautiful wife, Jeanette, a very Happy Mother’s Day. I could not be where I am today without your love, encouragement and support. I’m so grateful for all you do for our family!",5/13/2018,1
20,Marco Rubio,marcorubio,politician,"In Michigan today campaigning with @JohnJamesMI, our Republican nominee for Senate — he’ll be a great advocate for stronger families and a more prosperous country.",8/13/2018,1
1,Ron DeSantis,rondesantis,politician,Couldn’t be more excited to speak with everyone at the RPOF quarterly meeting this weekend! Follow me to go behind the scenes. #Sayfie #FLSEN,8/28/2015,0
2,Ron DeSantis,rondesantis,politician,Catch my interview with Craig Patrick on WTVT Fox 13 Tampa tonight at 10! #Sayfie #FLSEN,8/28/2015,0
3,Ron DeSantis,rondesantis,politician,Having a great time meeting people at the RPOF quarterly meeting in Tampa! #Sayfie #FLSEN,8/28/2015,0
4,Ron DeSantis,rondesantis,politician,"Thanks to all the great friends and supporters I met this weekend at the @floridagop quarterly meeting in Tampa! From South Florida to North Florida and over to the Panhandle, our support continues to grow exponentially. I hope you'll join me on this mission - to elect a true conservative to the U.S. Senate! #Sayfie #FLSEN #flapol",8/29/2015,0
5,Ron DeSantis,rondesantis,politician,Excited to be with the @floridagopwomen in Orlando this evening! #GOPWomen #Sayfie #FlSen,10/10/2015,0
6,Ron DeSantis,rondesantis,politician,Back in FL- I had a great time stopping by WEBY today! #Sayfie,10/12/2015,0
7,Ron DeSantis,rondesantis,politician,"Tonight, I accepted the Conservative Excellence Award for my 100% conservative rating from @acuofficial #flapol",11/8/2015,0
8,Ron DeSantis,rondesantis,politician,Getting ready to rally with @tgowdysc at The Villages! #flapol,11/9/2015,0
9,Ron DeSantis,rondesantis,politician,"We've got to have better leadership. For me, that means that if you're going to use our military, you have to have a clear purpose. Once you have that clear purpose and you've identified the objective, you go in strong and you go in to win. #SunshineSummit #FlaPol #Sayfie",11/14/2015,0
10,Ron DeSantis,rondesantis,politician,"Enjoyed hanging out with the folks at St. Francis House today. Providing shelter and serving 66,700 meals a year, they serve a critical need in our community and it was a privilege to serve with them today.",11/25/2015,0
11,Ron DeSantis,rondesantis,politician,"The greatest state in the nation, Florida, became the 27th state on March 3, 1845. Happy 173rd Anniversary to the Sunshine State!
#lovefl #florida #sunshinestate",3/3/2018,1
12,Ron DeSantis,rondesantis,politician,"Limited government allows Americans to prosper with less barriers to economic and individual freedom. Floridians deserve to be free of unnecessary restrictions so our economy can continue to thrive. I strongly support #PresidentTrump’s leadership and commend his pledge to eliminate two existing federal regulations for every new one created.
",3/12/2018,1
13,Ron DeSantis,rondesantis,politician,"I’m proud to be rated the most conservative member of Congress in Florida by the American Conservative Union Foundation, receiving a 99.17% lifetime voting record average! I believe you must stay true to those who elected you and faithfully fight for the principles and values that make this country great.",4/17/2018,1
14,Ron DeSantis,rondesantis,politician,"Our country is safe and secure, and our freedoms are protected thanks to sacrifices our armed forces make. One of the best decisions I ever made was serving in the Navy and now in the reserves. This #ArmedForcesDay I am proud to stand along side these brave men and women. Thank you for your service.",5/19/2018,1
15,Ron DeSantis,rondesantis,politician,I can’t understand why Publix would cave to such misguided and unfair complaints. The protests against Publix are ridiculous — who the heck wants people laying down in a supermarket? Shopping won’t be a pleasure if left-wing agitators get their way. I’ll always stand up for #2A!,5/25/2018,1
16,Ron DeSantis,rondesantis,politician,"I’m proud to stand with Florida anglers, business owners and residents in the fight for clean water. Enough is enough and anyone who truly puts Florida first should join this fight to protect our waterways and preserve our way of life.",7/14/2018,1
17,Ron DeSantis,rondesantis,politician,"Moving forward, the choice for Florida is clear. Andrew Gillum wants to take us back to the days of higher taxes, fewer jobs, and less educational opportunities for our children. I want to take us forward, building on our success by cutting taxes, protecting our waters, expanding access to education for everyone, and making Florida the worldwide leader for job creation. Together, we can do all these things, and as your Governor, I’ll be ready to lead on day one to get them done.",8/29/2018,1
18,Ron DeSantis,rondesantis,politician,"Grateful for Florida's hard-working men and women who are growing our economy. Florida has the lowest unemployment rate in over a decade, low taxes, and over 1.6 MILLION jobs created under Gov. Rick Scott. Let's keep building on this success!",9/3/2018,1
19,Ron DeSantis,rondesantis,politician,Florida’s beaches and coastal communities are the backbone of our tourism industry and broader economy. I will fight to keep them clean to protect the many jobs they create.,9/12/2018,1
20,Ron DeSantis,rondesantis,politician,"Words can’t describe what we saw today in Bay County, our hearts break for these families and the utter devastation they are facing. Thank you to everyone who came with us to bring much needed supplies. It will take time, but we will rebuild. #floridastrong",10/13/2018,1
1,Gavin Newsom,gavinnewsom,politician,"n Santa Clara with @rokhannausa kicking off a canvass in California's 17th Congressional District -- be sure to get out and #vote Tuesday, your #votingmatters! #CA17",11/1/2014,0
2,Gavin Newsom,gavinnewsom,politician,Discussing health care reform & how to improve the quality of health care outcomes with hundreds of industry professionals at the @kpthrive James O. Johnston Orthopedic Symposium in Oakland,11/14/2014,0
3,Gavin Newsom,gavinnewsom,politician,"Last month I spoke with @UCSantaBarbara students encouraging them to get involved. How about now? If you disagree with the proposed tuition hikes in the UC system, sign my petition to stop the plan: www.gavinnewsom.com/petition/stop-tuition-increase-now/",11/17/2014,0
4,Gavin Newsom,gavinnewsom,politician,"Met with some of CA's best and brightest today -- love that Cal Poly recognizes all of its National Champions. From engineering to journalism, these young people are making a difference.",3/9/2015,0
5,Gavin Newsom,gavinnewsom,politician,Presenting California NASCAR Day proclamation to Auto Club Speedway President Dave Allen. Auto Club 400 is huge economic boom for Inland Empire -- this weekend alone generates over $100 million.,3/22/2015,0
6,Gavin Newsom,gavinnewsom,politician,"#‎BruceJenner‬ your courage is inspiring. You have not only given strength to those who are transgender, you have inspired so many of us to be who we are.",4/25/2015,0
7,Gavin Newsom,gavinnewsom,politician,Happy Mother's Day! Especially to my wife Jen who is an amazing mom to our three kids. My sister @hilarynewsom and our mom Tessa who passed away 13 years ago but still serves as an example to me.,5/10/2015,0
8,Gavin Newsom,gavinnewsom,politician,I'm very sad to learn about the passing of Beau Biden -- an American hero and a wonderful man. He faced so much adversity in his life -- but he always stepped up and stepped in for his country and the state of Delaware. He leaves behind an amazing legacy for Hallie and their two kids -- but 46 is devastatingly young. As the father of three kids I can't imagine anything more heartbreaking than losing two kids in a lifetime. I'm so sorry @vp and Dr. Biden. ᐧ,5/30/2015,0
9,Gavin Newsom,gavinnewsom,politician,"Dr. Julian Bond -- who passed away yesterday at the very young age of 75 -- was a lion in the civil rights movement. I won't say more than just share this abbreviated list of his accomplishments. 1. He was elected to the Georgia House of Representatives in 1965 but refused a seat because of his position against the Vietnam War. The Supreme Court finally affirmed his right to be seated in the House of Representatives. 2. Served as President of the NAACP for 10 years. 3. He boycotted the funeral services of Coretta Scott King because they were held in an anti-gay church which were in direct opposition to Mrs. King's strong support for LGBT rights. 4. He was a tireless fighter in the climate change movement -- opposing the Keystone pipeline long before others did. 5. He was a passionate ally in the fight for LGBT rights. 6. He co-founded the Southern Poverty Law Center 7. He co-founded the Student Non-Violent Coordinating Committee, which helped to lead protests against Jim Crow laws.",8/16/2015,0
10,Gavin Newsom,gavinnewsom,politician,"I have to wonder: just how many of those supporting Kentucky clerk Kim Davis' refusal to issue marriage licenses based on her religious objection to same-sex couples marrying would support a Quaker government official who refused to issue them gun permits based on a religious commitment to pacifism? --- Jon Davidson, Lambda Legal",9/2/2015,0
11,Gavin Newsom,gavinnewsom,politician,Latina women make 54 cents for every dollar a white man makes. That means they have to work 10 more months to catch up to a white male's pay. We need equal pay now! #LatinaEqualPayDay,11/2/2017,1
12,Gavin Newsom,gavinnewsom,politician,"Jennifer and I are absolutely heartbroken by the news of Mayor Lee's passing. San Francisco has lost a selfless leader, a dedicated servant to the public, and a tireless bearer of equality's torch. His intellect, unshakable integrity, boundless optimism and contagious love for San Francisco elevated the City to greater heights. He steered San Francisco with an unshakable hand, an indomitable spirit, and a great sense of humor.
Most of all, we mourn the loss of a dear friend. Our prayers and profound condolences go out to Anita, Brianna, Tania and all of Mayor Lee's wonderful family, as the entire State of California grieves with them.",12/12/2017,1
13,Gavin Newsom,gavinnewsom,politician,"“The ultimate measure of a man is not where he stands in moments of comfort and convenience, but where he stands at times of challenge and controversy.” Great to join the SF MLK March to honor the life and legacy of Martin Luther King Jr.",1/15/2018,1
14,Gavin Newsom,gavinnewsom,politician,"It's outrageous that Trump has proposed removing protections for public lands, opening up our coastlines to oil drilling, and pulling out of the Paris Climate Agreement. California won't stand for it. We need to step up and push back. Check out my full plan at: https://gavinnewsom.com/environment",2/8/2018,1
15,Gavin Newsom,gavinnewsom,politician,"On this day 14 years ago, we made history in San Francisco by issuing marriage licenses to same-sex couples. It was a rebellious move at the time – same-sex marriage was illegal almost everywhere, California included – but I knew then as I know now: it's never the wrong time to do the right thing. During the time that marriage licenses were issued, couples traveled from all over to get married. We witnessed joy, excitement, longing, love - and the one that really stood out: hope. Since then, we've continued to change the polls instead of chase them – leading the fight in California to enact universal healthcare, implement real criminal justice reforms, and bring an end to the epidemic of mass incarceration. Together, we’ve taken bold steps to protect our climate, our coastline, and our environment. And we’ve stood up to the NRA and passed some of the strongest gun safety protections in the country. That kind of courageous leadership has never been more critical, and I damn sure take it seriously.",2/12/2018,1
16,Gavin Newsom,gavinnewsom,politician,"‪I've known @kamalaharris for over two decades. From our work in San Francisco together, to her work in Washington, DC, she has always been an outspoken advocate and fearless fighter for California's progressive values.‬ ‪Honored to have her support in my race for Governor!‬",2/16/2018,1
17,Gavin Newsom,gavinnewsom,politician,"My mom passed away over a decade ago from breast cancer. She taught me everything I know about grit, hard work, and determination. She was a single mom who worked 3 jobs and waitressed at night to make ends meet for her two kids. She taught us that you measure your life by your actions, which is why she welcomed my foster brother with open arms, got us involved in volunteer programs, and served her community however she could. Her example of leadership and perseverance for me will live on forever.",3/1/2018,1
18,Gavin Newsom,gavinnewsom,politician,"Thanks to everybody who sent in their favorite photos of CA! Reminded me how proud we can all be of this state we love – and why we’re working so hard to keep it moving forward!! Pamela, your picture perfectly captures the beauty and complexity of the CA landscape. Thank you for sharing :)",5/11/2018,1
19,Gavin Newsom,gavinnewsom,politician,"The Trump Administration has been defined by chaos and cruelty - family separation is both. We will not sit idly by while families are torn apart and jailed for fleeing violence and seeking a better future. Time for us to step up, to move our feet and demand more of our country. #familiesbelongtogether",6/30/2018,1
20,Gavin Newsom,gavinnewsom,politician,"7 DAYS. 7 days to call. To text. To knock on doors. To VOTE. We can be bold, and big, and dream in exponential terms. We are not just the resistance — we are the positive alternative to what’s going on in this country. So let’s get out there and have our voices heard.",10/30/2018,1
1,Nikki Haley,nikkihaley,politician,"Big news in Aiken County! Bridgestone has announced the opening of its first giant off road radial tire plant outside of Japan. The 1.5 million-square-foot manufacturing facility located in Trenton currently employs 350 people and will add 200 more positions as they reach full production. We are proud to have a company like Bridgestone expanding in our state and adding to the 2,000 employees they already have working here. It’s a great day in South Carolina!
",11/18/2014,0
2,Nikki Haley,nikkihaley,politician,"I say this with great optimism because I do believe there is willingness in the House and Senate. Please make sure that we do not go home this session without income disclosures from our legislators, without independent investigators looking into those legislators, and without making sure that we remove those conflicts of interest that require lawyer legislators who sue the state to disclose the taxpayer dollars they receive. If we do that, taxpayers can celebrate and legislators can relax because they will know exactly what is right and wrong.",12/17/2014,0
3,Nikki Haley,nikkihaley,politician,"I’m a mom, I’m a wife, and I’m a sister, and I know I have to protect those around me. But In order to do that, we have to change the culture in South Carolina. If we don’t change the culture, we will continue to see generational cycles of domestic violence in our state. But with this army of people who stood behind me who are completely committed to this cause, I know we can finally do something about it.",1/29/2015,0
4,Nikki Haley,nikkihaley,politician,We are proud to have been named the most patriotic state in the nation and a huge supporter of our men and women in uniform. We have 8 military installations in SC and they are an integral part of our community. Thank you to the U.S. Army's willingness to listen to our community on the importance of Fort Jackson. #SaveOurFort,2/26/2015,0
5,Nikki Haley,nikkihaley,politician,"Whether it's new jobs, tourism, or the environment, we are moving in the right direction in South Carolina. But taking in nuclear waste from other states would be a huge step backwards. Let's not go down this direction. There are a lot of things we need to be working on right now, and taking in other states' nuclear waste is not one of them.",3/19/2015,0
6,Nikki Haley,nikkihaley,politician,"As we enjoy our family today, we want to thank the many military families for their sacrifice. Take time to share with your little ones what today is about. We are and will continue to be blessed with our freedoms due to the sacrifices of those that gave their all. May we never forget....",5/25/2015,0
7,Nikki Haley,nikkihaley,politician,"South Carolina should be proud today that one of its native sons has entered the race for the highest office in the land. Senator Lindsey Graham came from humble roots in rural South Carolina. He has served our state well in the U.S. Senate, and has become one of America’s leading voices on national security. South Carolina voters are an independent bunch – some will support Sen. Graham, and some will not. But regardless of where our support goes, Lindsey Graham has earned our gratitude and our good wishes as he begins his campaign today.",6/1/2015,0
8,Nikki Haley,nikkihaley,politician,"We have had unfortunate incidents during my last four years in office, from the fire in Georgetown, to the ice storms, to the Emanuel 9 tragedy, and so many in between. Those I have dealt with to lift up those communities have all been important, but the one constant through all of them has been The American Red Cross. Thank you to the 4000+ volunteers who continue to lift us up in times of need.",7/17/2015,0
9,Nikki Haley,nikkihaley,politician,"Michael and I found a ""Must Visit"" restaurant in the sweet spot of Travelers Rest! The Cafe at Williams Hardware is a place to enjoy an old sense of community. You can browse their gift shop and enjoy an amazing meal. This family friendly restaurant will not disappoint with the food or homemade special desserts. Stop by and say hello to Nancy and Joyce, sisters and owners of this sweet treasure in our great state. For more info, visit www.CafeAtWilliamsHardware.com #SCFind #MustVisit #HeartofSC",9/19/2015,0
10,Nikki Haley,nikkihaley,politician,"This flood disaster has been like nothing South Carolina has ever seen. Estimates indicate that this type of flooding occurs only once in a thousand years. Our prayers are with those who have lost their homes and businesses and those who are still in danger as waters continue to rise. We cannot encourage you enough to stay home and stay off the roads so that our first responders and utility and maintenance crews can get their jobs done. Team South Carolina continues to be all hands on deck as we work through this. The heroes in this situation continue to be our first responders, DOT maintenance crews, and our utility workers. Please keep them in your prayers as they continue to work in these dangerous conditions.
For more information, go to www.scemd.org.",10/4/2015,0
11,Nikki Haley,nikkihaley,politician,"Throwback to Michael’s homecoming from Afghanistan. I’m thankful for Michael, my brother, and all veterans and their families who sacrifice so much for our great country! #USA #Freedom 🇺🇸",11/10/2017,1
12,Nikki Haley,nikkihaley,politician,"Following today's historic announcement by President Trump to move the US embassy to Jerusalem we remain committed to peace in the region. ""For the sake of Israeli children and Palestinian children, it is time for those two sides to come together. It’s time for them to negotiate. And the United States is pushing that process.”",12/6/2017,1
13,Nikki Haley,nikkihaley,politician,"We joined ABC this morning to discuss North Korea. ""It's a serious situation-- Kim can't sit there and imply that he's going to destroy the United States without us reminding him of the facts and the reality that if he goes there, it's not us that will
be destroyed, it's you."" Watch the full interview, here: https://goo.gl/La7Xwu",1/7/2018,1
14,Nikki Haley,nikkihaley,politician,No parents should ever have to go through what Fred and Cindy Warmbier had to go through with the death of their son Otto by the North Korean regime. Their love and courage is inspiring. We will never forget Otto or the other Americans being held by the brutal Kim regime. #NeverForgetOtto ❤️,1/31/2018,1
15,Nikki Haley,nikkihaley,politician,On International Women’s Day we encourage women and girls around the globe to find the power of their voice and use it for good. Because when they do they can change the world. That’s why it was an honor to present Sheikha Rima al-Sabah with the Peace Award— for her hard work empowering and lifting up women and girls across the Middle East.,3/8/2018,1
